Rural_Population,year,No_of_Registered,Employment_demanded,Employment_offered,Employment_Availed,Crop,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI,State
37908471,2019,8977974,4512203,4502488,4037367,Bajra,25000.0,58200.0,2328.0,2000,2.567726027,189.45,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Barley,7449.0,10198.0,1369.0,1525,3.32509589,168.1083333,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Castorseed,38000.0,25992.0,684.0,5556,2.567726027,121.025,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Cotton,657000.0,2508000.0,649.0,5550,2.567726027,117.875,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Gram,459000.0,559062.0,1218.0,4875,2.567726027,145.825,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Groundnut,0.0,0.0,0.0,5090,0.0,137.8083333,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Guarseed,321725.08,1000969.51,1836.69,1773,2.93460274,171.2583333,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Jowar,155000.0,389111.0,2510.0,2550,2.567726027,156.0166667,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Jute,64247.0,791666.0,2218.0,3950,5.826712329,198.375,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Jute & Mesta,2000.0,21311.0,1918.0,1771,2.567726027,171.2583333,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Lentil,454.0,356.0,784.0,4800,7.009479452,135.3083333,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Linseed,4885.0,3038.0,622.0,5682,5.826712329,157.3083333,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Maize,0.0,0.0,0.0,1760,0.0,172.5666667,ANDHRA PRADESH
37908471,2019,8977974,4512203,4502488,4037367,Mesta,2000.0,21311.0,1918.0,1959,2.567726027,132.8583333,ANDHRA PRADESH
